Q184384 | DOWNLOAD ERROR | ('Connection aborted.', ConnectionAbortedError(103, 'Software caused connection abort'))
Q7604495 | DOWNLOAD ERROR | ('Connection aborted.', ConnectionAbortedError(103, 'Software caused connection abort'))
Q59506393 | FILE WRITE ERROR | ("Connection broken: ConnectionAbortedError(103, 'Software caused connection abort')", ConnectionAbortedError(103, 'Software caused connection abort'))
Q59646773 | DOWNLOAD ERROR | ('Connection aborted.', ConnectionAbortedError(103, 'Software caused connection abort'))
Q29647747 | FILE WRITE ERROR | ("Connection broken: ConnectionAbortedError(103, 'Software caused connection abort')", ConnectionAbortedError(103, 'Software caused connection abort'))
Q61968743 | FILE WRITE ERROR | ("Connection broken: ConnectionAbortedError(103, 'Software caused connection abort')", ConnectionAbortedError(103, 'Software caused connection abort'))
Q26492462 | FILE WRITE ERROR | ("Connection broken: ConnectionAbortedError(103, 'Software caused connection abort')", ConnectionAbortedError(103, 'Software caused connection abort'))
Q30099327 | DOWNLOAD ERROR | ('Connection aborted.', ConnectionAbortedError(103, 'Software caused connection abort'))
Q108430478 | DOWNLOAD ERROR | 404 Client Error: Not Found for url: https://commons.wikimedia.org/w/thumb.php?width=1500&f=Hohlwein%20L%20Und%20Du%20GR%20C14-34%20A4-ONLINE%20UND%20DU%3F%20Der%20Stahlhelm%20Bund%20der%20Frontsoldaten%20Ludwig%20Hohlwein%20Hermann%20Sonntag%20%26%20Co.%20M%C3%BCnchen%20Plakat%20Poster%201929%20CC%20BY-SA%204.0.jpg
Q4445535 | FILE WRITE ERROR | HTTPSConnectionPool(host='commons.wikimedia.org', port=443): Read timed out.
Q6022118 | FILE WRITE ERROR | ("Connection broken: ConnectionAbortedError(103, 'Software caused connection abort')", ConnectionAbortedError(103, 'Software caused connection abort'))
Q2304692 | DOWNLOAD ERROR | ('Connection aborted.', ConnectionAbortedError(103, 'Software caused connection abort'))
Q11802722 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/0/03/Battle_of_Grunwald_by_Rozwadowski_%26_Popiel_1910.jpg
Q11815446 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/9/99/EveningLandscape.jpg
Q7681820 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/3/3d/Tampuhan_by_Juan_Luna.jpg
Q7718659 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/b/bd/The_Blood_Compact_by_Juan_Luna.jpg
Q3754341 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/c/ca/Homme_%C3%A0_la_pipe%2C_par_Paul_C%C3%A9zanne%2C_Mus%C3%A9e_de_l%27Ermitage.jpg
Q5937103 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/a/a8/Golestan_palace_springhouse.JPG
Q5962062 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/9/90/L%27Aurore_by_William-Adolphe_Bouguereau_-_BMA.jpg
Q2547869 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/3/39/Theo_van_Doesburg_034.jpg
Q4089584 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/0/05/Mikhail-Vrubel-Icon.png
Q4101826 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/d/d8/%D0%92_%D1%82%D1%83%D1%80%D0%B5%D1%86%D0%BA%D0%BE%D0%B9_%D0%BF%D0%BE%D0%BA%D0%BE%D0%B9%D0%BD%D0%B8%D1%86%D0%BA%D0%BE%D0%B9_.jpg
