Q2915674 | TOO_LARGE | 19041367
Q21680095 | TOO_LARGE | 21398164
Q21675919 | TOO_LARGE | 13476837
Q106565182 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style="display:inline-block" dir="ltr" lang="en"><i>Saint-Gaudens' statue of Abraham Lincoln at Chicago born 1809 ; died 1865</i></div></div><div style="display: none;">label QS:Lcy,"Saint-Gaudens' statue of Abraham Lincoln at Chicago born 1809 ; died 1865"</div><div style="display: none;">label QS:Len,"Saint-Gaudens' statue of Abraham Lincoln at Chicago born 1809 ; died 1865"</div></div>
Q18674614 | TOO_LARGE | 16457856
Q21620225 | SKIPPED_MIME | image/tiff
Q22080664 | TOO_LARGE | 39111354
Q55177712 | TOO_LARGE | 13035535
Q50703694 | TOO_LARGE | 12279999
Q22247266 | TOO_LARGE | 17861242
Q500951 | SKIPPED_MIME | image/tiff
Q3203172 | TOO_LARGE | 53006136
Q48977623 | TOO_LARGE | 28856160
Q29982591 | TOO_LARGE | 12356994
Q50690765 | TOO_LARGE | 12489562
Q23690339 | TOO_LARGE | 13497737
Q21619633 | SKIPPED_MIME | image/tiff
Q105301617 | TOO_LARGE | 12070055
Q20188643 | TOO_LARGE | 13555946
Q97581378 | SKIPPED_OBJECT | <div class="fn">
[Presidential Campaign Medal with Portraits of  Abraham Lincoln and Andrew Johnson]</div>
Q64962857 | TOO_LARGE | 13738473
Q29862381 | TOO_LARGE | 19999404
Q20188413 | TOO_LARGE | 94908161
Q97581376 | SKIPPED_OBJECT | <div class="fn">
[Presidential Campaign Medal with portraits of Abraham Lincoln and Hannibal Hamlin]</div>
Q28005165 | TOO_LARGE | 15183943
Q60515755 | SKIPPED_MIME | image/tiff
Q80799209 | TOO_LARGE | 12997028
Q4536026 | TOO_LARGE | 228507510
Q28001558 | TOO_LARGE | 13563477
Q58177232 | TOO_LARGE | 14092141
Q29228513 | TOO_LARGE | 12976279
Q3202169 | TOO_LARGE | 31387221
Q20184593 | TOO_LARGE | 25877755
Q46993414 | TOO_LARGE | 20043987
Q47414451 | SKIPPED_MIME | image/tiff
Q50746033 | TOO_LARGE | 14704451
Q50746055 | TOO_LARGE | 14504177
Q23008326 | TOO_LARGE | 235752705
Q2415079 | TOO_LARGE | 38259418
Q18574218 | SKIPPED_MIME | image/tiff
Q20180145 | TOO_LARGE | 47950885
Q20180164 | TOO_LARGE | 27961527
Q21618295 | SKIPPED_MIME | image/tiff
Q20655936 | TOO_LARGE | 23880466
Q18689133 | TOO_LARGE | 22420031
Q18084501 | TOO_LARGE | 34357489
Q28001684 | TOO_LARGE | 12027943
Q28002313 | TOO_LARGE | 17021345
Q28002316 | TOO_LARGE | 14605062
Q28005606 | TOO_LARGE | 13445271
Q133502891 | TOO_LARGE | 36661199
Q28001494 | TOO_LARGE | 13434500
Q51262499 | TOO_LARGE | 15609174
Q28001953 | TOO_LARGE | 13061924
Q64788034 | TOO_LARGE | 51511252
Q50698432 | TOO_LARGE | 12850218
Q50628864 | TOO_LARGE | 15884188
Q60513388 | SKIPPED_MIME | image/tiff
Q51211169 | TOO_LARGE | 13889117
Q29226979 | TOO_LARGE | 12113699
Q56702358 | TOO_LARGE | 43887871
Q56702464 | TOO_LARGE | 26499029
Q50695250 | TOO_LARGE | 15135448
Q21614233 | SKIPPED_MIME | image/tiff
Q18811444 | TOO_LARGE | 21583501
Q21614475 | SKIPPED_MIME | image/tiff
Q29266404 | TOO_LARGE | 12534440
Q56703179 | TOO_LARGE | 15547905
Q28803748 | TOO_LARGE | 13039739
Q208758 | TOO_LARGE | 266867780
Q18599189 | SKIPPED_MIME | image/tiff
Q16908837 | TOO_LARGE | 98106753
Q21614429 | SKIPPED_MIME | image/tiff
Q46420346 | TOO_LARGE | 19061263
Q21764189 | TOO_LARGE | 12382938
Q50687841 | TOO_LARGE | 12617193
Q26221612 | TOO_LARGE | 12316374
Q21764210 | TOO_LARGE | 18862371
Q2964919 | TOO_LARGE | 21302565
Q27998920 | TOO_LARGE | 15385910
